Species,SiteName,HabitatReach,M,C,R,pHat,pSE,avgC,Nhat,Nse
Chinook,LowerLemhi_2018,001,0,1,0,0.23003194888178913,0.056589329277628636,0.5,2,0.5347222222222222
Steelhead,LowerLemhi_2018,001,0,4,0,0.16512059369202226,0.035842503640012256,2,12,2.6292134831460676
Steelhead,LowerLemhi_2018,002,1,1,0,0.16512059369202226,0.035842503640012256,1,6,1.3146067415730338
Chinook,LowerLemhi_2018,003,0,2,0,0.23003194888178913,0.056589329277628636,1,4,1.0694444444444444
Steelhead,LowerLemhi_2018,003,10,9,2,0.16512059369202226,0.035842503640012256,9.5,58,12.488764044943823
Chinook,LowerLemhi_2018,004,4,0,0,0.23003194888178913,0.056589329277628636,2,9,2.138888888888889
Steelhead,LowerLemhi_2018,004,2,1,0,0.16512059369202226,0.035842503640012256,1.5,9,1.9719101123595508
Chinook,LowerLemhi_2018,005,9,6,1,0.23003194888178913,0.056589329277628636,7.5,33,8.020833333333334
Steelhead,LowerLemhi_2018,005,6,2,1,0.16512059369202226,0.035842503640012256,4,24,5.258426966292135
Chinook,LowerLemhi_2018,006,3,0,0,0.23003194888178913,0.056589329277628636,1.5,7,1.6041666666666667
Steelhead,LowerLemhi_2018,006,1,2,0,0.16512059369202226,0.035842503640012256,1.5,9,1.9719101123595508
Chinook,LowerLemhi_2018,007,8,7,1,0.23003194888178913,0.056589329277628636,7.5,33,8.020833333333334
Steelhead,LowerLemhi_2018,007,9,11,0,0.16512059369202226,0.035842503640012256,10,61,13.14606741573034
Chinook,LowerLemhi_2018,008,4,6,1,0.23003194888178913,0.056589329277628636,5,22,5.347222222222222
Steelhead,LowerLemhi_2018,008,1,6,0,0.16512059369202226,0.035842503640012256,3.5,21,4.601123595505619
Chinook,LowerLemhi_2018,009,9,8,0,0.23003194888178913,0.056589329277628636,8.5,37,9.090277777777779
Steelhead,LowerLemhi_2018,009,8,7,1,0.16512059369202226,0.035842503640012256,7.5,45,9.859550561797754
Chinook,LowerLemhi_2018,010,1,1,0,0.23003194888178913,0.056589329277628636,1,4,1.0694444444444444
Steelhead,LowerLemhi_2018,010,4,1,0,0.16512059369202226,0.035842503640012256,2.5,15,3.286516853932585
Steelhead,LowerLemhi_2018,011,1,2,0,0.16512059369202226,0.035842503640012256,1.5,9,1.9719101123595508
Chinook,LowerLemhi_2018,012,1,0,0,0.23003194888178913,0.056589329277628636,0.5,2,0.5347222222222222
Steelhead,LowerLemhi_2018,012,3,4,1,0.16512059369202226,0.035842503640012256,3.5,21,4.601123595505619
Chinook,LowerLemhi_2018,013,1,2,0,0.23003194888178913,0.056589329277628636,1.5,7,1.6041666666666667
Steelhead,LowerLemhi_2018,013,3,3,0,0.16512059369202226,0.035842503640012256,3,18,3.9438202247191017
Steelhead,LowerLemhi_2018,014,2,4,0,0.16512059369202226,0.035842503640012256,3,18,3.9438202247191017
Chinook,LowerLemhi_2018,015,6,3,1,0.23003194888178913,0.056589329277628636,4.5,20,4.8125
Steelhead,LowerLemhi_2018,015,8,6,1,0.16512059369202226,0.035842503640012256,7,42,9.202247191011239
Chinook,LowerLemhi_2018,016,13,3,2,0.23003194888178913,0.056589329277628636,8,35,8.555555555555555
Steelhead,LowerLemhi_2018,016,14,8,2,0.16512059369202226,0.035842503640012256,11,67,14.460674157303373
Chinook,LowerLemhi_2018,017,7,1,0,0.23003194888178913,0.056589329277628636,4,17,4.277777777777778
Steelhead,LowerLemhi_2018,017,6,6,0,0.16512059369202226,0.035842503640012256,6,36,7.887640449438203
Chinook,LowerLemhi_2018,018,6,2,0,0.23003194888178913,0.056589329277628636,4,17,4.277777777777778
Steelhead,LowerLemhi_2018,018,10,6,0,0.16512059369202226,0.035842503640012256,8,48,10.51685393258427
Chinook,Pahsimeroi_2018,001,1,0,0,0.038314176245210725,0.021179225202213707,0.5,13,7.213750000000001
Steelhead,Pahsimeroi_2018,001,6,6,0,0.05931729155008394,0.019673955624921517,6,101,33.549056603773586
Chinook,Pahsimeroi_2018,002,4,5,0,0.038314176245210725,0.021179225202213707,4.5,117,64.92375000000001
Steelhead,Pahsimeroi_2018,002,12,15,0,0.05931729155008394,0.019673955624921517,13.5,228,75.48537735849057
Chinook,Pahsimeroi_2018,003,6,1,0,0.038314176245210725,0.021179225202213707,3.5,91,50.49625
Steelhead,Pahsimeroi_2018,003,11,12,1,0.05931729155008394,0.019673955624921517,11.5,194,64.30235849056604
Chinook,Pahsimeroi_2018,004,2,2,0,0.038314176245210725,0.021179225202213707,2,52,28.855000000000004
Steelhead,Pahsimeroi_2018,004,4,2,0,0.05931729155008394,0.019673955624921517,3,51,16.774528301886793
Chinook,Pahsimeroi_2018,005,3,17,0,0.038314176245210725,0.021179225202213707,10,261,144.27500000000003
Steelhead,Pahsimeroi_2018,005,25,23,2,0.05931729155008394,0.019673955624921517,24,405,134.19622641509434
Chinook,Pahsimeroi_2018,006,2,3,0,0.038314176245210725,0.021179225202213707,2.5,65,36.06875000000001
Steelhead,Pahsimeroi_2018,006,5,7,0,0.05931729155008394,0.019673955624921517,6,101,33.549056603773586
Chinook,Pahsimeroi_2018,007,1,3,0,0.038314176245210725,0.021179225202213707,2,52,28.855000000000004
Steelhead,Pahsimeroi_2018,007,3,9,0,0.05931729155008394,0.019673955624921517,6,101,33.549056603773586
Chinook,Pahsimeroi_2018,008,12,11,1,0.038314176245210725,0.021179225202213707,11.5,300,165.91625000000002
Steelhead,Pahsimeroi_2018,008,17,19,1,0.05931729155008394,0.019673955624921517,18,303,100.64716981132077
Chinook,Pahsimeroi_2018,009,4,4,0,0.038314176245210725,0.021179225202213707,4,104,57.71000000000001
Steelhead,Pahsimeroi_2018,009,3,2,0,0.05931729155008394,0.019673955624921517,2.5,42,13.978773584905662
Chinook,Pahsimeroi_2018,010,1,2,0,0.038314176245210725,0.021179225202213707,1.5,39,21.641250000000003
Steelhead,Pahsimeroi_2018,010,3,3,0,0.05931729155008394,0.019673955624921517,3,51,16.774528301886793
Chinook,Pahsimeroi_2018,011,1,0,0,0.038314176245210725,0.021179225202213707,0.5,13,7.213750000000001
Steelhead,Pahsimeroi_2018,011,13,15,0,0.05931729155008394,0.019673955624921517,14,236,78.28113207547169
Chinook,Pahsimeroi_2018,015,0,2,0,0.038314176245210725,0.021179225202213707,1,26,14.427500000000002
Steelhead,Pahsimeroi_2018,015,2,2,0,0.05931729155008394,0.019673955624921517,2,34,11.18301886792453
Chinook,Pahsimeroi_2018,016,3,0,0,0.038314176245210725,0.021179225202213707,1.5,39,21.641250000000003
Steelhead,Pahsimeroi_2018,016,2,1,0,0.05931729155008394,0.019673955624921517,1.5,25,8.3872641509433965
Chinook,UpperLemhi_2018,001,2,6,1,0.08340498710232158,0.017720870432488104,4,48,10.189690721649486
Steelhead,UpperLemhi_2018,001,3,2,0,0.12582781456953643,0.014621580924813238,2.5,20,2.308771929824561
Chinook,UpperLemhi_2018,002,1,10,0,0.08340498710232158,0.017720870432488104,5.5,66,14.010824742268042
Steelhead,UpperLemhi_2018,002,7,15,1,0.12582781456953643,0.014621580924813238,11,87,10.158596491228069
Chinook,UpperLemhi_2018,003,2,13,0,0.08340498710232158,0.017720870432488104,7.5,90,19.105670103092788
Steelhead,UpperLemhi_2018,003,10,41,2,0.12582781456953643,0.014621580924813238,25.5,203,23.549473684210522
Chinook,UpperLemhi_2018,004,3,6,1,0.08340498710232158,0.017720870432488104,4.5,54,11.463402061855671
Steelhead,UpperLemhi_2018,004,12,14,0,0.12582781456953643,0.014621580924813238,13,103,12.005614035087717
Chinook,UpperLemhi_2018,005,0,2,0,0.08340498710232158,0.017720870432488104,1,12,2.5474226804123714
Steelhead,UpperLemhi_2018,005,4,8,0,0.12582781456953643,0.014621580924813238,6,48,5.541052631578947
Chinook,UpperLemhi_2018,006,4,10,1,0.08340498710232158,0.017720870432488104,7,84,17.8319587628866
Steelhead,UpperLemhi_2018,006,14,11,0,0.12582781456953643,0.014621580924813238,12.5,99,11.543859649122805
Chinook,UpperLemhi_2018,007,3,1,0,0.08340498710232158,0.017720870432488104,2,24,5.094845360824743
Steelhead,UpperLemhi_2018,007,12,29,0,0.12582781456953643,0.014621580924813238,20.5,163,18.9319298245614
Chinook,UpperLemhi_2018,008,3,0,0,0.08340498710232158,0.017720870432488104,1.5,18,3.8211340206185573
Steelhead,UpperLemhi_2018,008,14,8,2,0.12582781456953643,0.014621580924813238,11,87,10.158596491228069
Chinook,UpperLemhi_2018,009,3,4,1,0.08340498710232158,0.017720870432488104,3.5,42,8.9159793814433
Steelhead,UpperLemhi_2018,009,17,18,2,0.12582781456953643,0.014621580924813238,17.5,139,16.16140350877193
Chinook,UpperLemhi_2018,010,7,4,0,0.08340498710232158,0.017720870432488104,5.5,66,14.010824742268042
Steelhead,UpperLemhi_2018,010,37,24,5,0.12582781456953643,0.014621580924813238,30.5,242,28.167017543859643
Chinook,UpperLemhi_2018,011,0,6,0,0.08340498710232158,0.017720870432488104,3,36,7.642268041237115
Steelhead,UpperLemhi_2018,011,1,4,0,0.12582781456953643,0.014621580924813238,2.5,20,2.308771929824561
Chinook,UpperLemhi_2018,012,3,8,1,0.08340498710232158,0.017720870432488104,5.5,66,14.010824742268042
Steelhead,UpperLemhi_2018,012,3,12,1,0.12582781456953643,0.014621580924813238,7.5,60,6.926315789473683
Chinook,UpperLemhi_2018,013,1,4,1,0.08340498710232158,0.017720870432488104,2.5,30,6.368556701030928
Steelhead,UpperLemhi_2018,013,8,6,0,0.12582781456953643,0.014621580924813238,7,56,6.464561403508771
Chinook,UpperLemhi_2018,014,5,7,1,0.08340498710232158,0.017720870432488104,6,72,15.28453608247423
Steelhead,UpperLemhi_2018,014,8,19,1,0.12582781456953643,0.014621580924813238,13.5,107,12.46736842105263
Chinook,UpperLemhi_2018,015,5,6,0,0.08340498710232158,0.017720870432488104,5.5,66,14.010824742268042
Steelhead,UpperLemhi_2018,015,7,8,1,0.12582781456953643,0.014621580924813238,7.5,60,6.926315789473683
Chinook,UpperLemhi_2018,016,3,10,0,0.08340498710232158,0.017720870432488104,6.5,78,16.558247422680417
Steelhead,UpperLemhi_2018,016,28,11,2,0.12582781456953643,0.014621580924813238,19.5,155,18.008421052631576
Chinook,UpperLemhi_2018,017,1,5,0,0.08340498710232158,0.017720870432488104,3,36,7.642268041237115
Steelhead,UpperLemhi_2018,017,8,24,0,0.12582781456953643,0.014621580924813238,16,127,14.77614035087719
Chinook,UpperLemhi_2018,018,1,2,0,0.08340498710232158,0.017720870432488104,1.5,18,3.8211340206185573
Steelhead,UpperLemhi_2018,018,9,13,1,0.12582781456953643,0.014621580924813238,11,87,10.158596491228069
Chinook,UpperLemhi_2018,019,0,5,0,0.08340498710232158,0.017720870432488104,2.5,30,6.368556701030928
Steelhead,UpperLemhi_2018,019,17,19,0,0.12582781456953643,0.014621580924813238,18,143,16.623157894736842
Steelhead,UpperLemhi_2018,020,11,18,4,0.12582781456953643,0.014621580924813238,14.5,115,13.390877192982455
Chinook,UpperLemhi_2018,021,2,7,0,0.08340498710232158,0.017720870432488104,4.5,54,11.463402061855671
Steelhead,UpperLemhi_2018,021,13,12,0,0.12582781456953643,0.014621580924813238,12.5,99,11.543859649122805
Chinook,UpperLemhi_2018,022,20,22,2,0.08340498710232158,0.017720870432488104,21,252,53.4958762886598
Steelhead,UpperLemhi_2018,022,15,26,2,0.12582781456953643,0.014621580924813238,20.5,163,18.9319298245614
Chinook,UpperLemhi_2018,023,9,22,1,0.08340498710232158,0.017720870432488104,15.5,186,39.48505154639175
Steelhead,UpperLemhi_2018,023,14,24,6,0.12582781456953643,0.014621580924813238,19,151,17.546666666666663
Chinook,UpperLemhi_2018,024,2,5,0,0.08340498710232158,0.017720870432488104,3.5,42,8.9159793814433
Steelhead,UpperLemhi_2018,024,3,23,1,0.12582781456953643,0.014621580924813238,13,103,12.005614035087717
Chinook,UpperLemhi_2018,025,9,8,0,0.08340498710232158,0.017720870432488104,8.5,102,21.65309278350516
Steelhead,UpperLemhi_2018,025,4,11,2,0.12582781456953643,0.014621580924813238,7.5,60,6.926315789473683
Chinook,UpperLemhi_2018,026,8,16,2,0.08340498710232158,0.017720870432488104,12,144,30.56907216494846
Steelhead,UpperLemhi_2018,026,6,11,1,0.12582781456953643,0.014621580924813238,8.5,68,7.849824561403508
Chinook,UpperSalmon_2018,001,12,4,0,0.028166278166278168,0.007253582610517342,8,284,73.14482758620689
Chinook,UpperSalmon_2018,002,45,3,0,0.028166278166278168,0.007253582610517342,24,852,219.43448275862065
Steelhead,UpperSalmon_2018,002,17,0,0,0.4878048780487805,0.24390243902439024,8.5,17,8.7125
Chinook,UpperSalmon_2018,003,38,60,0,0.028166278166278168,0.007253582610517342,49,1740,448.01206896551713
Steelhead,UpperSalmon_2018,003,1,0,0,0.4878048780487805,0.24390243902439024,0.5,1,0.5125000000000001
Chinook,UpperSalmon_2018,004,10,25,0,0.028166278166278168,0.007253582610517342,17.5,621,160.0043103448276
Chinook,UpperSalmon_2018,005,2,0,0,0.028166278166278168,0.007253582610517342,1,36,9.14310344827586
Steelhead,UpperSalmon_2018,005,1,0,0,0.4878048780487805,0.24390243902439024,0.5,1,0.5125000000000001
Chinook,UpperSalmon_2018,006,126,278,10,0.028166278166278168,0.007253582610517342,202,7172,1846.9068965517238
Steelhead,UpperSalmon_2018,006,0,1,0,0.4878048780487805,0.24390243902439024,0.5,1,0.5125000000000001
Chinook,UpperSalmon_2018,007,13,13,0,0.028166278166278168,0.007253582610517342,13,462,118.86034482758618
Chinook,UpperSalmon_2018,010,44,76,2,0.028166278166278168,0.007253582610517342,60,2130,548.5862068965516
Steelhead,UpperSalmon_2018,010,1,0,0,0.4878048780487805,0.24390243902439024,0.5,1,0.5125000000000001
